2405,1,,,90x3
6000,2,,,90x3
4180,1,,,80x2
820,1,,,80x2
6000,23,,,80x2
6000,46,,,70x2
779,2,,,60x2
2595,1,,,60x2
6000,36,,,60x2
6000,11,,,50x5
3982,1,,,50x5
6000,30,,,50x2
3205,1,,,50x2
3590,1,,,50x2
6000,5,,,40x5
4065,1,,,40x5
751,1,,,40x5
1700,1,,,40x5
1560,1,,,40x5
1577,1,,,40x5
1717,1,,,40x5
6000,69,,,40x2
1277,1,,,40x2
2073,1,,,40x2
1920,1,,,40x2
1925,1,,,40x2
2412,1,,,40x2
1431,1,,,40x2
6000,15,,,35x2
4357,1,,,35x2
6000,12,,,30x2
3315,1,,,30x2
5267,1,,,30x2
6000,12,,,25x2
6000,1,,,120x3
5000,1,,,120x3
6000,3,,,110x5
2034,1,,,110x5
714,1,,,100x2
2685,1,,,100x2
6000,7,,,100x2
